word1,word2,label1,label2,sim_value
old,new,A,A,1.58
smart,intelligent,A,A,9.2
hard,difficult,A,A,8.77
happy,cheerful,A,A,9.55
hard,easy,A,A,0.95
fast,rapid,A,A,8.75
happy,glad,A,A,9.17
short,long,A,A,1.23
stupid,dumb,A,A,9.58
weird,strange,A,A,8.93
wide,narrow,A,A,1.03
bad,awful,A,A,8.42
easy,difficult,A,A,0.58
bad,terrible,A,A,7.78
hard,simple,A,A,1.38
smart,dumb,A,A,0.55
insane,crazy,A,A,9.57
happy,mad,A,A,0.95
large,huge,A,A,9.47
hard,tough,A,A,8.05
new,fresh,A,A,6.83
sharp,dull,A,A,0.6
quick,rapid,A,A,9.7
dumb,foolish,A,A,6.67
wonderful,terrific,A,A,8.63
strange,odd,A,A,9.02
happy,angry,A,A,1.28
narrow,broad,A,A,1.18
simple,easy,A,A,9.4
old,fresh,A,A,0.87
apparent,obvious,A,A,8.47
inexpensive,cheap,A,A,8.72
nice,generous,A,A,5.0
weird,normal,A,A,0.72
weird,odd,A,A,9.2
bad,immoral,A,A,7.62
sad,funny,A,A,0.95
wonderful,great,A,A,8.05
guilty,ashamed,A,A,6.38
beautiful,wonderful,A,A,6.5
confident,sure,A,A,8.27
dumb,dense,A,A,7.27
large,big,A,A,9.55
nice,cruel,A,A,0.67
impatient,anxious,A,A,6.03
big,broad,A,A,6.73
strong,proud,A,A,3.17
unnecessary,necessary,A,A,0.63
restless,young,A,A,1.6
dumb,intelligent,A,A,0.75
bad,great,A,A,0.35
difficult,simple,A,A,0.87
necessary,important,A,A,7.37
bad,terrific,A,A,0.65
mad,glad,A,A,1.45
honest,guilty,A,A,1.18
easy,tough,A,A,0.52
easy,flexible,A,A,4.1
certain,sure,A,A,8.42
essential,necessary,A,A,8.97
different,normal,A,A,1.08
sly,clever,A,A,7.25
crucial,important,A,A,8.82
harsh,cruel,A,A,8.18
childish,foolish,A,A,5.5
scarce,rare,A,A,9.17
friendly,generous,A,A,5.9
fragile,frigid,A,A,2.38
long,narrow,A,A,3.57
big,heavy,A,A,6.18
rough,frigid,A,A,2.47
bizarre,strange,A,A,9.37
illegal,immoral,A,A,4.28
bad,guilty,A,A,4.2
modern,ancient,A,A,0.73
new,ancient,A,A,0.23
dull,funny,A,A,0.55
happy,young,A,A,2.0
easy,big,A,A,1.12
great,awful,A,A,1.17
tiny,huge,A,A,0.6
polite,proper,A,A,7.63
modest,ashamed,A,A,2.65
exotic,rare,A,A,8.05
dumb,clever,A,A,1.17
delightful,wonderful,A,A,8.65
noticeable,obvious,A,A,8.48
afraid,anxious,A,A,5.07
formal,proper,A,A,8.02
dreary,dull,A,A,8.25
delightful,cheerful,A,A,6.58
unhappy,mad,A,A,5.95
sad,terrible,A,A,5.4
sick,crazy,A,A,3.57
violent,angry,A,A,6.98
laden,heavy,A,A,5.9
dirty,cheap,A,A,1.6
elastic,flexible,A,A,7.78
hard,dense,A,A,5.9
recent,new,A,A,7.05
bold,proud,A,A,3.97
sly,strange,A,A,1.97
dumb,rare,A,A,0.48
sly,tough,A,A,0.58
terrific,mad,A,A,0.4
modest,flexible,A,A,0.98
fresh,wide,A,A,0.4
huge,dumb,A,A,0.48
large,flexible,A,A,0.48
dirty,narrow,A,A,0.3
wife,husband,N,N,2.3
book,text,N,N,6.35
groom,bride,N,N,3.17
night,day,N,N,1.88
south,north,N,N,2.2
plane,airport,N,N,3.65
uncle,aunt,N,N,5.5
horse,mare,N,N,8.33
bottom,top,N,N,0.7
friend,buddy,N,N,8.78
student,pupil,N,N,9.35
world,globe,N,N,6.67
leg,arm,N,N,2.88
plane,jet,N,N,8.1
woman,man,N,N,3.33
horse,colt,N,N,7.07
actress,actor,N,N,7.12
teacher,instructor,N,N,9.25
movie,film,N,N,8.87
bird,hawk,N,N,7.85
word,dictionary,N,N,3.68
money,salary,N,N,7.88
dog,cat,N,N,1.75
area,region,N,N,9.47
navy,army,N,N,6.43
book,literature,N,N,7.53
clothes,closet,N,N,3.27
sunset,sunrise,N,N,2.47
child,adult,N,N,2.98
cow,cattle,N,N,9.52
book,story,N,N,5.63
winter,summer,N,N,2.38
taxi,cab,N,N,9.2
tree,maple,N,N,5.53
bed,bedroom,N,N,3.4
roof,ceiling,N,N,7.58
disease,infection,N,N,7.15
arm,shoulder,N,N,4.85
sheep,lamb,N,N,8.42
lady,gentleman,N,N,3.42
boat,anchor,N,N,2.25
priest,monk,N,N,6.28
toe,finger,N,N,4.68
river,stream,N,N,7.3
anger,fury,N,N,8.73
date,calendar,N,N,4.42
sea,ocean,N,N,8.27
second,minute,N,N,4.62
hand,thumb,N,N,3.88
wood,log,N,N,7.3
mud,dirt,N,N,7.32
hallway,corridor,N,N,9.28
way,manner,N,N,7.62
mouse,cat,N,N,1.12
cop,sheriff,N,N,9.05
death,burial,N,N,4.93
music,melody,N,N,6.98
beer,alcohol,N,N,7.5
mouth,lip,N,N,7.1
storm,hurricane,N,N,6.38
tax,income,N,N,2.38
flower,violet,N,N,6.95
paper,cardboard,N,N,5.38
floor,ceiling,N,N,1.73
beach,seashore,N,N,8.33
rod,curtain,N,N,3.03
hound,fox,N,N,2.38
street,alley,N,N,5.48
boat,deck,N,N,4.28
car,horn,N,N,2.57
friend,guest,N,N,4.25
employer,employee,N,N,3.65
hand,wrist,N,N,3.97
ball,cannon,N,N,2.58
alcohol,brandy,N,N,6.98
victory,triumph,N,N,8.98
telephone,booth,N,N,3.63
door,doorway,N,N,5.4
motel,inn,N,N,8.17
clothes,cloth,N,N,5.47
steak,meat,N,N,7.47
nail,thumb,N,N,3.55
band,orchestra,N,N,7.08
book,bible,N,N,5.0
business,industry,N,N,7.02
winter,season,N,N,6.27
decade,century,N,N,3.48
alcohol,gin,N,N,8.65
hat,coat,N,N,2.67
window,door,N,N,3.33
arm,wrist,N,N,3.57
house,apartment,N,N,5.8
glass,crystal,N,N,6.27
wine,brandy,N,N,5.15
creator,maker,N,N,9.62
dinner,breakfast,N,N,3.33
arm,muscle,N,N,3.72
bubble,suds,N,N,8.57
bread,flour,N,N,3.33
death,tragedy,N,N,5.8
absence,presence,N,N,0.4
gun,cannon,N,N,5.68
grass,blade,N,N,4.57
ball,basket,N,N,1.67
hose,garden,N,N,1.67
boy,kid,N,N,7.5
church,choir,N,N,2.95
clothes,drawer,N,N,3.02
tower,bell,N,N,1.9
father,parent,N,N,7.07
school,grade,N,N,4.42
parent,adult,N,N,5.37
bar,jail,N,N,1.9
car,highway,N,N,3.4
dictionary,definition,N,N,6.25
door,cellar,N,N,1.97
army,legion,N,N,5.95
metal,aluminum,N,N,7.25
chair,bench,N,N,6.67
cloud,fog,N,N,6.0
boy,son,N,N,6.75
water,ice,N,N,6.47
bed,blanket,N,N,3.02
attorney,lawyer,N,N,9.35
area,zone,N,N,8.33
business,company,N,N,9.02
clothes,fabric,N,N,5.87
sweater,jacket,N,N,7.15
money,capital,N,N,6.67
hand,foot,N,N,4.17
alcohol,cocktail,N,N,6.73
yard,inch,N,N,3.78
molecule,atom,N,N,6.45
lens,camera,N,N,4.28
meal,dinner,N,N,7.15
eye,tear,N,N,3.55
god,devil,N,N,1.8
loop,belt,N,N,3.1
rat,mouse,N,N,7.78
motor,engine,N,N,8.65
car,cab,N,N,7.42
cat,lion,N,N,6.75
size,magnitude,N,N,6.33
reality,fantasy,N,N,1.03
door,gate,N,N,5.25
cat,pet,N,N,5.95
tin,aluminum,N,N,6.42
bone,jaw,N,N,4.17
cereal,wheat,N,N,3.75
house,key,N,N,1.9
blood,flesh,N,N,4.28
door,corridor,N,N,3.73
god,spirit,N,N,7.3
capability,competence,N,N,7.62
abundance,plenty,N,N,8.97
sofa,chair,N,N,6.67
wall,brick,N,N,4.68
horn,drum,N,N,2.68
organ,liver,N,N,6.15
strength,might,N,N,7.07
phrase,word,N,N,5.48
band,parade,N,N,3.92
stomach,waist,N,N,5.9
cloud,storm,N,N,5.6
joy,pride,N,N,5.0
noise,rattle,N,N,6.17
rain,mist,N,N,5.97
beer,beverage,N,N,5.42
man,uncle,N,N,3.92
apple,juice,N,N,2.88
intelligence,logic,N,N,6.5
communication,language,N,N,7.47
mink,fur,N,N,6.83
mob,crowd,N,N,7.85
shore,coast,N,N,8.83
wire,cord,N,N,7.62
bird,turkey,N,N,6.58
bed,crib,N,N,7.3
competence,ability,N,N,7.5
cloud,haze,N,N,7.32
supper,meal,N,N,7.53
bar,cage,N,N,2.8
water,salt,N,N,1.3
sense,intuition,N,N,7.68
situation,condition,N,N,6.58
crime,theft,N,N,7.53
style,fashion,N,N,8.5
boundary,border,N,N,9.08
arm,body,N,N,4.05
boat,car,N,N,2.37
sandwich,lunch,N,N,6.3
bride,princess,N,N,2.8
heroine,hero,N,N,8.78
car,gauge,N,N,1.13
insect,bee,N,N,6.07
crib,cradle,N,N,8.55
animal,person,N,N,3.05
marijuana,herb,N,N,6.5
bed,hospital,N,N,0.92
cheek,tongue,N,N,4.52
disc,computer,N,N,3.2
curve,angle,N,N,3.33
grass,moss,N,N,5.0
school,law,N,N,1.13
foot,head,N,N,2.3
mother,guardian,N,N,6.5
orthodontist,dentist,N,N,8.27
alcohol,whiskey,N,N,7.27
mouth,tooth,N,N,6.3
breakfast,bacon,N,N,4.37
bathroom,bedroom,N,N,3.4
plate,bowl,N,N,5.23
meat,bacon,N,N,5.8
air,helium,N,N,3.63
worker,employer,N,N,5.37
body,chest,N,N,4.45
son,father,N,N,3.82
heart,surgery,N,N,1.08
woman,secretary,N,N,1.98
man,father,N,N,4.83
beach,island,N,N,5.6
story,topic,N,N,5.0
game,fun,N,N,3.42
weekend,week,N,N,4.0
couple,pair,N,N,8.33
woman,wife,N,N,5.72
sheep,cattle,N,N,4.77
purse,bag,N,N,8.33
ceiling,cathedral,N,N,2.42
bean,coffee,N,N,5.15
wood,paper,N,N,2.88
top,side,N,N,1.9
crime,fraud,N,N,5.65
pain,harm,N,N,5.38
lover,companion,N,N,5.97
evening,dusk,N,N,7.78
father,daughter,N,N,2.62
wine,liquor,N,N,7.85
cow,goat,N,N,2.93
belief,opinion,N,N,7.7
reality,illusion,N,N,1.42
pact,agreement,N,N,9.02
wealth,poverty,N,N,1.27
accident,emergency,N,N,4.93
battle,conquest,N,N,7.22
friend,teacher,N,N,2.62
illness,infection,N,N,6.9
game,trick,N,N,2.32
brother,son,N,N,3.48
aunt,nephew,N,N,3.1
worker,mechanic,N,N,4.92
doctor,orthodontist,N,N,5.58
oak,maple,N,N,6.03
bee,queen,N,N,3.27
car,bicycle,N,N,3.47
goal,quest,N,N,5.83
august,month,N,N,5.53
army,squad,N,N,5.08
cloud,weather,N,N,4.87
physician,doctor,N,N,8.88
canyon,valley,N,N,6.75
river,valley,N,N,1.67
sun,sky,N,N,2.27
target,arrow,N,N,3.25
chocolate,pie,N,N,2.27
circumstance,situation,N,N,7.85
opinion,choice,N,N,5.43
rhythm,melody,N,N,6.12
gut,nerve,N,N,4.93
day,dawn,N,N,5.47
cattle,beef,N,N,7.03
doctor,professor,N,N,4.65
arm,vein,N,N,3.65
room,bath,N,N,3.33
corporation,business,N,N,9.02
fun,football,N,N,1.97
hill,cliff,N,N,4.28
bone,ankle,N,N,3.82
apple,candy,N,N,2.08
helper,maid,N,N,5.58
leader,manager,N,N,7.27
lemon,tea,N,N,1.6
bee,ant,N,N,2.78
basketball,baseball,N,N,4.92
rice,bean,N,N,2.72
bed,furniture,N,N,6.08
emotion,passion,N,N,7.72
anarchy,chaos,N,N,7.93
crime,violation,N,N,7.12
machine,engine,N,N,5.58
beach,sea,N,N,4.68
alley,bowl,N,N,1.53
jar,bottle,N,N,7.83
strength,capability,N,N,5.28
seed,mustard,N,N,3.48
guitar,drum,N,N,3.78
opinion,idea,N,N,5.7
north,west,N,N,3.63
diet,salad,N,N,2.98
mother,wife,N,N,3.02
dad,mother,N,N,3.55
captain,sailor,N,N,5.0
meter,yard,N,N,5.6
beer,champagne,N,N,4.45
motor,boat,N,N,2.57
card,bridge,N,N,1.97
science,psychology,N,N,4.92
sinner,saint,N,N,1.6
destruction,construction,N,N,0.98
crowd,bunch,N,N,7.42
beach,reef,N,N,3.77
man,child,N,N,4.13
bread,cheese,N,N,1.95
champion,winner,N,N,8.73
celebration,ceremony,N,N,7.72
menu,order,N,N,3.62
king,princess,N,N,3.27
wealth,prestige,N,N,6.07
endurance,strength,N,N,6.58
danger,threat,N,N,8.78
god,priest,N,N,4.5
men,fraternity,N,N,3.13
buddy,companion,N,N,8.65
teacher,helper,N,N,4.28
body,stomach,N,N,3.93
tongue,throat,N,N,3.1
house,carpet,N,N,1.38
intelligence,skill,N,N,5.35
journey,conquest,N,N,4.72
god,prey,N,N,1.23
brother,soul,N,N,0.97
adversary,opponent,N,N,9.05
death,catastrophe,N,N,4.13
monster,demon,N,N,6.95
day,morning,N,N,4.87
man,victor,N,N,1.9
friend,guy,N,N,3.88
song,story,N,N,3.97
ray,sunshine,N,N,6.83
guy,stud,N,N,5.83
chicken,rice,N,N,1.43
box,elevator,N,N,1.32
butter,potato,N,N,1.22
apartment,furniture,N,N,1.28
lake,swamp,N,N,4.92
salad,vinegar,N,N,1.13
flower,bulb,N,N,4.48
cloud,mist,N,N,6.67
driver,pilot,N,N,6.28
sugar,honey,N,N,5.13
body,shoulder,N,N,2.88
idea,image,N,N,3.55
father,brother,N,N,4.2
moon,planet,N,N,5.87
ball,costume,N,N,2.32
rail,fence,N,N,5.22
room,bed,N,N,2.35
flower,bush,N,N,4.25
bone,knee,N,N,4.17
arm,knee,N,N,2.75
bottom,side,N,N,2.63
vessel,vein,N,N,5.15
cat,rabbit,N,N,2.37
meat,sandwich,N,N,2.35
belief,concept,N,N,5.08
intelligence,insight,N,N,5.9
attention,interest,N,N,7.22
attitude,confidence,N,N,4.35
right,justice,N,N,7.05
argument,agreement,N,N,1.45
depth,magnitude,N,N,6.12
medium,news,N,N,3.65
winner,candidate,N,N,2.78
birthday,date,N,N,5.08
fee,payment,N,N,7.15
bible,hymn,N,N,5.15
exit,doorway,N,N,5.5
man,sentry,N,N,3.25
aisle,hall,N,N,6.35
whiskey,gin,N,N,6.28
blood,marrow,N,N,3.4
oil,mink,N,N,1.23
floor,deck,N,N,5.55
roof,floor,N,N,2.62
door,floor,N,N,1.67
shoulder,head,N,N,3.42
wagon,carriage,N,N,7.7
car,carriage,N,N,5.13
elbow,ankle,N,N,3.13
wealth,fame,N,N,4.02
sorrow,shame,N,N,4.77
administration,management,N,N,7.25
communication,conversation,N,N,8.02
pollution,atmosphere,N,N,4.25
anatomy,biology,N,N,5.33
college,profession,N,N,3.12
book,topic,N,N,2.07
formula,equation,N,N,7.95
book,information,N,N,5.0
boy,partner,N,N,1.9
sky,universe,N,N,4.68
population,people,N,N,7.68
college,class,N,N,4.13
chief,mayor,N,N,4.85
rabbi,minister,N,N,7.62
meter,inch,N,N,5.08
polyester,cotton,N,N,5.63
lawyer,banker,N,N,1.88
violin,instrument,N,N,6.58
camp,cabin,N,N,4.2
pot,appliance,N,N,2.53
linen,fabric,N,N,7.47
whiskey,champagne,N,N,5.33
girl,child,N,N,5.38
cottage,cabin,N,N,7.72
bird,hen,N,N,7.03
racket,noise,N,N,8.1
sunset,evening,N,N,5.98
drizzle,rain,N,N,9.17
adult,baby,N,N,2.22
charcoal,coal,N,N,7.63
body,spine,N,N,4.78
head,nail,N,N,2.47
log,timber,N,N,8.05
spoon,cup,N,N,2.02
body,nerve,N,N,3.13
man,husband,N,N,5.32
bone,neck,N,N,2.53
frustration,anger,N,N,6.5
river,sea,N,N,5.72
task,job,N,N,8.87
club,society,N,N,5.23
reflection,image,N,N,7.27
prince,king,N,N,5.92
snow,weather,N,N,5.48
people,party,N,N,2.2
boy,brother,N,N,6.67
root,grass,N,N,3.55
brow,eye,N,N,3.82
money,pearl,N,N,2.1
money,diamond,N,N,3.42
vehicle,bus,N,N,6.47
cab,bus,N,N,5.6
house,barn,N,N,4.33
finger,palm,N,N,3.33
car,bridge,N,N,0.95
effort,difficulty,N,N,4.45
fact,insight,N,N,4.77
job,management,N,N,3.97
cancer,sickness,N,N,7.93
word,newspaper,N,N,2.47
composer,writer,N,N,6.58
actor,singer,N,N,4.52
shelter,hut,N,N,6.47
bathroom,kitchen,N,N,3.1
cabin,hut,N,N,6.53
door,kitchen,N,N,1.67
value,belief,N,N,7.07
wisdom,intelligence,N,N,7.47
ignorance,intelligence,N,N,1.5
happiness,luck,N,N,2.38
idea,scheme,N,N,6.75
mood,emotion,N,N,8.12
happiness,peace,N,N,6.03
despair,misery,N,N,7.22
logic,arithmetic,N,N,3.97
denial,confession,N,N,1.03
argument,criticism,N,N,5.08
aggression,hostility,N,N,8.48
hysteria,confusion,N,N,6.33
chemistry,theory,N,N,3.17
trial,verdict,N,N,3.33
comfort,safety,N,N,5.8
confidence,self,N,N,3.12
vision,perception,N,N,6.88
era,decade,N,N,5.4
biography,fiction,N,N,1.38
discussion,argument,N,N,5.48
code,symbol,N,N,6.03
danger,disease,N,N,3.0
accident,catastrophe,N,N,5.9
journey,trip,N,N,8.88
activity,movement,N,N,7.15
gossip,news,N,N,5.22
father,god,N,N,3.57
action,course,N,N,5.45
fever,illness,N,N,7.65
aviation,flight,N,N,8.18
game,action,N,N,4.85
molecule,air,N,N,3.05
home,state,N,N,2.58
word,literature,N,N,4.77
adult,guardian,N,N,6.9
newspaper,information,N,N,5.65
communication,television,N,N,5.6
cousin,uncle,N,N,4.63
author,reader,N,N,1.6
guy,partner,N,N,3.57
area,corner,N,N,2.07
ballad,song,N,N,7.53
wall,decoration,N,N,2.62
word,page,N,N,2.92
nurse,scientist,N,N,2.08
politician,president,N,N,7.38
president,mayor,N,N,5.68
book,essay,N,N,4.72
man,warrior,N,N,4.72
article,journal,N,N,6.18
breakfast,supper,N,N,4.4
crowd,parade,N,N,3.93
aisle,hallway,N,N,6.75
teacher,rabbi,N,N,4.37
hip,lip,N,N,1.43
book,article,N,N,5.43
room,cell,N,N,4.58
box,booth,N,N,3.8
daughter,kid,N,N,4.17
limb,leg,N,N,6.9
liver,lung,N,N,2.7
classroom,hallway,N,N,2.0
mountain,ledge,N,N,3.73
car,elevator,N,N,1.03
bed,couch,N,N,3.42
clothes,button,N,N,2.3
clothes,coat,N,N,5.35
kidney,organ,N,N,6.17
apple,sauce,N,N,1.43
chicken,steak,N,N,3.73
car,hose,N,N,0.87
tobacco,cigarette,N,N,7.5
student,professor,N,N,1.95
baby,daughter,N,N,5.0
pipe,cigar,N,N,6.03
milk,juice,N,N,4.05
box,cigar,N,N,1.25
apartment,hotel,N,N,3.33
cup,cone,N,N,3.17
horse,ox,N,N,3.02
throat,nose,N,N,2.8
bone,teeth,N,N,4.17
bone,elbow,N,N,3.78
bacon,bean,N,N,1.22
cup,jar,N,N,5.13
proof,fact,N,N,7.3
appointment,engagement,N,N,6.75
birthday,year,N,N,1.67
word,clue,N,N,2.53
author,creator,N,N,8.02
atom,carbon,N,N,3.1
