word1,word2,label1,label2,sim_value
smart,intelligent,A,A,9.2
hard,difficult,A,A,8.77
happy,cheerful,A,A,9.55
hard,easy,A,A,0.95
short,long,A,A,1.23
stupid,dumb,A,A,9.58
weird,strange,A,A,8.93
wide,narrow,A,A,1.03
bad,awful,A,A,8.42
easy,difficult,A,A,0.58
bad,terrible,A,A,7.78
hard,simple,A,A,1.38
smart,dumb,A,A,0.55
insane,crazy,A,A,9.57
happy,mad,A,A,0.95
large,huge,A,A,9.47
hard,tough,A,A,8.05
sharp,dull,A,A,0.6
quick,rapid,A,A,9.7
dumb,foolish,A,A,6.67
strange,odd,A,A,9.02
happy,angry,A,A,1.28
narrow,broad,A,A,1.18
simple,easy,A,A,9.4
old,fresh,A,A,0.87
apparent,obvious,A,A,8.47
inexpensive,cheap,A,A,8.72
weird,normal,A,A,0.72
weird,odd,A,A,9.2
bad,immoral,A,A,7.62
sad,funny,A,A,0.95
guilty,ashamed,A,A,6.38
beautiful,wonderful,A,A,6.5
confident,sure,A,A,8.27
dumb,dense,A,A,7.27
large,big,A,A,9.55
impatient,anxious,A,A,6.03
big,broad,A,A,6.73
strong,proud,A,A,3.17
unnecessary,necessary,A,A,0.63
restless,young,A,A,1.6
dumb,intelligent,A,A,0.75
difficult,simple,A,A,0.87
necessary,important,A,A,7.37
honest,guilty,A,A,1.18
easy,tough,A,A,0.52
easy,flexible,A,A,4.1
certain,sure,A,A,8.42
essential,necessary,A,A,8.97
different,normal,A,A,1.08
sly,clever,A,A,7.25
crucial,important,A,A,8.82
childish,foolish,A,A,5.5
scarce,rare,A,A,9.17
long,narrow,A,A,3.57
big,heavy,A,A,6.18
illegal,immoral,A,A,4.28
bad,guilty,A,A,4.2
dull,funny,A,A,0.55
happy,young,A,A,2.0
easy,big,A,A,1.12
tiny,huge,A,A,0.6
polite,proper,A,A,7.63
modest,ashamed,A,A,2.65
dumb,clever,A,A,1.17
delightful,wonderful,A,A,8.65
afraid,anxious,A,A,5.07
formal,proper,A,A,8.02
dreary,dull,A,A,8.25
delightful,cheerful,A,A,6.58
sad,terrible,A,A,5.4
sick,crazy,A,A,3.57
violent,angry,A,A,6.98
laden,heavy,A,A,5.9
dirty,cheap,A,A,1.6
elastic,flexible,A,A,7.78
hard,dense,A,A,5.9
bold,proud,A,A,3.97
sly,strange,A,A,1.97
dumb,rare,A,A,0.48
sly,tough,A,A,0.58
modest,flexible,A,A,0.98
fresh,wide,A,A,0.4
huge,dumb,A,A,0.48
large,flexible,A,A,0.48
dirty,narrow,A,A,0.3
book,text,N,N,6.35
night,day,N,N,1.88
south,north,N,N,2.2
plane,airport,N,N,3.65
uncle,aunt,N,N,5.5
bottom,top,N,N,0.7
student,pupil,N,N,9.35
world,globe,N,N,6.67
leg,arm,N,N,2.88
plane,jet,N,N,8.1
woman,man,N,N,3.33
horse,colt,N,N,7.07
teacher,instructor,N,N,9.25
movie,film,N,N,8.87
bird,hawk,N,N,7.85
word,dictionary,N,N,3.68
dog,cat,N,N,1.75
area,region,N,N,9.47
book,literature,N,N,7.53
clothes,closet,N,N,3.27
sunset,sunrise,N,N,2.47
child,adult,N,N,2.98
cow,cattle,N,N,9.52
book,story,N,N,5.63
taxi,cab,N,N,9.2
tree,maple,N,N,5.53
bed,bedroom,N,N,3.4
roof,ceiling,N,N,7.58
disease,infection,N,N,7.15
arm,shoulder,N,N,4.85
sheep,lamb,N,N,8.42
lady,gentleman,N,N,3.42
priest,monk,N,N,6.28
river,stream,N,N,7.3
date,calendar,N,N,4.42
sea,ocean,N,N,8.27
second,minute,N,N,4.62
hand,thumb,N,N,3.88
wood,log,N,N,7.3
mud,dirt,N,N,7.32
hallway,corridor,N,N,9.28
way,manner,N,N,7.62
cop,sheriff,N,N,9.05
music,melody,N,N,6.98
mouth,lip,N,N,7.1
tax,income,N,N,2.38
flower,violet,N,N,6.95
floor,ceiling,N,N,1.73
beach,seashore,N,N,8.33
rod,curtain,N,N,3.03
hound,fox,N,N,2.38
boat,deck,N,N,4.28
car,horn,N,N,2.57
friend,guest,N,N,4.25
employer,employee,N,N,3.65
hand,wrist,N,N,3.97
ball,cannon,N,N,2.58
alcohol,brandy,N,N,6.98
victory,triumph,N,N,8.98
telephone,booth,N,N,3.63
door,doorway,N,N,5.4
motel,inn,N,N,8.17
clothes,cloth,N,N,5.47
steak,meat,N,N,7.47
nail,thumb,N,N,3.55
book,bible,N,N,5.0
business,industry,N,N,7.02
decade,century,N,N,3.48
alcohol,gin,N,N,8.65
hat,coat,N,N,2.67
window,door,N,N,3.33
arm,wrist,N,N,3.57
house,apartment,N,N,5.8
wine,brandy,N,N,5.15
creator,maker,N,N,9.62
dinner,breakfast,N,N,3.33
bread,flour,N,N,3.33
absence,presence,N,N,0.4
ball,basket,N,N,1.67
hose,garden,N,N,1.67
boy,kid,N,N,7.5
tower,bell,N,N,1.9
school,grade,N,N,4.42
parent,adult,N,N,5.37
car,highway,N,N,3.4
door,cellar,N,N,1.97
army,legion,N,N,5.95
metal,aluminum,N,N,7.25
chair,bench,N,N,6.67
cloud,fog,N,N,6.0
boy,son,N,N,6.75
attorney,lawyer,N,N,9.35
business,company,N,N,9.02
clothes,fabric,N,N,5.87
sweater,jacket,N,N,7.15
hand,foot,N,N,4.17
alcohol,cocktail,N,N,6.73
molecule,atom,N,N,6.45
meal,dinner,N,N,7.15
god,devil,N,N,1.8
loop,belt,N,N,3.1
car,cab,N,N,7.42
cat,lion,N,N,6.75
reality,fantasy,N,N,1.03
door,gate,N,N,5.25
cat,pet,N,N,5.95
tin,aluminum,N,N,6.42
house,key,N,N,1.9
blood,flesh,N,N,4.28
door,corridor,N,N,3.73
god,spirit,N,N,7.3
horn,drum,N,N,2.68
organ,liver,N,N,6.15
strength,might,N,N,7.07
phrase,word,N,N,5.48
stomach,waist,N,N,5.9
noise,rattle,N,N,6.17
man,uncle,N,N,3.92
apple,juice,N,N,2.88
communication,language,N,N,7.47
mink,fur,N,N,6.83
shore,coast,N,N,8.83
wire,cord,N,N,7.62
bird,turkey,N,N,6.58
bed,crib,N,N,7.3
cloud,haze,N,N,7.32
supper,meal,N,N,7.53
water,salt,N,N,1.3
sense,intuition,N,N,7.68
situation,condition,N,N,6.58
crime,theft,N,N,7.53
style,fashion,N,N,8.5
boundary,border,N,N,9.08
arm,body,N,N,4.05
boat,car,N,N,2.37
heroine,hero,N,N,8.78
car,gauge,N,N,1.13
insect,bee,N,N,6.07
crib,cradle,N,N,8.55
animal,person,N,N,3.05
bed,hospital,N,N,0.92
curve,angle,N,N,3.33
foot,head,N,N,2.3
alcohol,whiskey,N,N,7.27
mouth,tooth,N,N,6.3
breakfast,bacon,N,N,4.37
bathroom,bedroom,N,N,3.4
plate,bowl,N,N,5.23
meat,bacon,N,N,5.8
air,helium,N,N,3.63
worker,employer,N,N,5.37
body,chest,N,N,4.45
heart,surgery,N,N,1.08
woman,secretary,N,N,1.98
beach,island,N,N,5.6
game,fun,N,N,3.42
weekend,week,N,N,4.0
woman,wife,N,N,5.72
sheep,cattle,N,N,4.77
purse,bag,N,N,8.33
ceiling,cathedral,N,N,2.42
