word1,word2,label1,label2,sim_value
love,sex,n,n,6.77
tiger,cat,n,n,7.35
tiger,tiger,n,n,10.0
book,paper,n,n,7.46
computer,keyboard,n,n,7.62
computer,internet,n,n,7.58
plane,car,n,n,5.77
train,car,n,n,6.31
telephone,communication,n,n,7.5
television,radio,n,n,6.77
drug,abuse,n,n,6.85
bread,butter,n,n,6.19
cucumber,potato,n,n,5.92
doctor,nurse,n,n,7.0
professor,doctor,n,n,6.62
student,professor,n,n,6.81
smart,student,n,n,4.62
smart,stupid,n,n,5.81
company,stock,n,n,7.08
stock,market,n,n,8.08
stock,phone,n,n,1.62
stock,CD,n,n,1.31
stock,jaguar,n,n,0.92
stock,egg,n,n,1.81
fertility,egg,n,n,6.69
stock,live,n,n,3.73
stock,life,n,n,0.92
book,library,n,n,7.46
wood,forest,n,n,7.73
money,cash,n,n,9.08
professor,cucumber,n,n,0.31
bishop,rabbi,n,n,6.69
holy,sex,n,n,1.62
football,soccer,n,n,9.03
football,basketball,n,n,6.81
football,tennis,n,n,6.63
tennis,racket,n,n,7.56
Arafat,terror,n,n,7.65
Arafat,Jackson,n,n,2.5
law,lawyer,n,n,8.38
movie,star,n,n,7.38
movie,theater,n,n,7.92
physics,proton,n,n,8.12
physics,chemistry,n,n,7.35
alcohol,chemistry,n,n,5.54
vodka,gin,n,n,8.46
vodka,brandy,n,n,8.13
baby,mother,n,n,7.85
car,automobile,n,n,8.94
gem,jewel,n,n,8.96
journey,voyage,n,n,9.29
coast,shore,n,n,9.1
magician,wizard,n,n,9.02
food,fruit,n,n,7.52
bird,cock,n,n,7.1
bird,crane,n,n,7.38
tool,implement,n,n,6.46
brother,monk,n,n,6.27
crane,implement,n,n,2.69
journey,car,n,n,5.85
monk,oracle,n,n,5.0
cemetery,woodland,n,n,2.08
coast,hill,n,n,4.38
forest,graveyard,n,n,1.85
shore,woodland,n,n,3.08
monk,slave,n,n,0.92
coast,forest,n,n,3.15
chord,smile,n,n,0.54
glass,magician,n,n,2.08
noon,string,n,n,0.54
money,wealth,n,n,8.27
money,possession,n,n,7.29
money,laundering,n,n,5.65
tiger,jaguar,n,n,8.0
tiger,feline,n,n,8.0
tiger,mammal,n,n,6.85
tiger,animal,n,n,7.0
tiger,organism,n,n,4.77
tiger,zoo,n,n,5.87
psychology,psychiatry,n,n,8.08
psychology,anxiety,n,n,7.0
psychology,fear,n,n,6.85
psychology,depression,n,n,7.42
psychology,clinic,n,n,6.58
psychology,doctor,n,n,6.42
psychology,Freud,n,n,8.21
psychology,health,n,n,7.23
psychology,science,n,n,6.71
psychology,discipline,n,n,5.58
psychology,cognition,n,n,7.48
planet,star,n,n,8.45
planet,constellation,n,n,8.06
planet,moon,n,n,8.08
planet,sun,n,n,8.02
planet,galaxy,n,n,8.11
planet,astronomer,n,n,7.94
precedent,example,n,n,5.85
precedent,information,n,n,3.85
precedent,cognition,n,n,2.81
precedent,law,n,n,6.65
precedent,collection,n,n,2.5
precedent,group,n,n,1.77
precedent,antecedent,n,n,6.04
jaguar,cat,n,n,7.42
jaguar,car,n,n,7.27
energy,secretary,n,n,1.81
secretary,senate,n,n,5.06
energy,laboratory,n,n,5.09
computer,laboratory,n,n,6.78
weapon,secret,n,n,6.06
FBI,fingerprint,n,n,6.94
FBI,investigation,n,n,8.31
investigation,effort,n,n,4.59
Wednesday,news,n,n,2.22
computer,news,n,n,4.47
atmosphere,landscape,n,n,3.69
president,medal,n,n,3.0
record,number,n,n,6.31
skin,eye,n,n,6.22
theater,history,n,n,3.91
decoration,valor,n,n,5.63
century,year,n,n,7.59
delay,racism,n,n,1.19
delay,news,n,n,3.31
minister,party,n,n,6.63
government,crisis,n,n,6.56
energy,crisis,n,n,5.94
announcement,news,n,n,7.56
announcement,effort,n,n,2.75
stroke,hospital,n,n,7.03
disability,death,n,n,5.47
journal,association,n,n,4.97
doctor,personnel,n,n,5.0
doctor,liability,n,n,5.19
liability,insurance,n,n,7.03
reason,criterion,n,n,5.91
hundred,percent,n,n,7.38
hospital,infrastructure,n,n,4.63
death,row,n,n,5.25
death,inmate,n,n,5.03
lawyer,evidence,n,n,6.69
life,death,n,n,7.88
life,term,n,n,4.5
