word_i_word_j,distance_i_j
сообразительный_интеллектуальный,8.31
тяжелый_трудный,8.62
счастливый_радостный,8.46
тяжелый_легкий,0.00
быстрый_скоростной,9.15
счастливый_довольный,8.08
короткий_длинный,0.00
глупый_тупой,8.23
чудной_странный,8.54
широкий_узкий,0.00
плохой_ужасный,8.62
легкий_трудный,0.00
сообразительный_тупой,0.00
безумный_сумасшедший,9.31
счастливый_рассерженный,0.00
большой_огромный,9.15
твердый_прочный,7.77
новый_свежий,7.77
острый_тупой,0.00
скорый_скоростной,9.15
тупой_дурацкий,7.54
прекрасный_потрясающий,8.46
странный_необычный,8.92
счастливый_злой,0.00
узкий_широкий,0.00
простой_легкий,7.00
старый_свежий,0.00
кажущийся_очевидный,2.92
недорогой_дешевый,9.46
приятный_великодушный,3.54
ненормальный_нормальный,0.00
ненормальный_необычный,5.92
плохой_безнравственный,5.85
печальный_смешной,0.00
прекрасный_великолепный,9.38
виноватый_пристыженный,7.62
красивый_прекрасный,9.38
самоуверенный_уверенный,7.38
тупой_глупый,8.85
крупный_большой,9.46
милый_жестокий,0.00
нетерпеливый_беспокойный,7.77
большой_широкий,3.31
сильный_гордый,3.23
ненужный_необходимый,0.00
неугомонный_молодой,1.85
тупой_интеллектуальный,0.00
плохой_великолепный,0.00
трудный_простой,0.00
необходимый_важный,7.38
плохой_потрясающий,0.00
рассерженный_довольный,0.00
честный_виноватый,0.00
покладистый_гибкий,4.00
убежденный_бесспорный,5.92
неотъемлемый_необходимый,8.15
необычный_обычный,0.00
хитрый_умный,3.38
решающий_важный,7.08
жесткий_жестокий,3.77
ребячливый_безрассудный,5.08
скудный_редкий,4.85
дружелюбный_великодушный,4.46
ранимый_бесстрастный,0.15
длинный_узкий,1.00
большой_тяжелый,2.92
грубый_равнодушный,2.85
эксцентричный_странный,6.31
нелегальный_безнравственный,1.62
плохой_виноватый,1.62
современный_старинный,0.00
новый_старый,0.00
скучный_смешной,0.00
счастливый_молодой,0.46
легкий_большой,0.00
прекрасный_ужасный,0.00
крошечный_огромный,0.00
вежливый_приличный,5.38
скромный_пристыженный,1.62
экзотичный_редкий,7.46
тупой_умный,0.00
восхитительный_прекрасный,9.08
заметный_очевидный,6.77
испуганный_встревоженный,7.77
официальный_приличный,2.31
тоскливый_скучный,8.62
восхитительный_радостный,5.23
несчастный_рассерженный,0.92
печальный_ужасный,2.31
больной_сумасшедший,4.62
